institute;unit;row;doi;issue_scival;issue
LIH;DCR;47;10.1016/b978-0-12-819609-0.00007-9;Publication ID could not be found;
LIH;DCR;96;10.1016/j.phymed.2019.09.122;Publication ID could not be found;
LIH;DCR;112;10.1016/s0167-8140(19)31074-6;Publication ID could not be found;
LIH;DCR;113;10.1016/s0167-8140(21)00346-7;Publication ID could not be found;
LIH;DCR;164;10.1038/s43587-021-00042-6;Publication ID could not be found;
LIH;DCR;200;10.1093/braincomms/fcab185;Publication ID could not be found;
LIH;DCR;206;10.1093/neuonc/noaa215.828;Publication ID could not be found;
LIH;DCR;207;10.1093/neuonc/noaa215.959;Publication ID could not be found;
LIH;DCR;208;10.1093/neuonc/noab180.000;Publication ID could not be found;
LIH;DCR;209;10.1093/neuonc/noab180.009;Publication ID could not be found;
LIH;DCR;210;10.1093/neuonc/noab180.030;Publication ID could not be found;
LIH;DCR;211;10.1093/neuonc/noab180.116;Publication ID could not be found;
LIH;DCR;212;10.1093/neuonc/noab180.123;Publication ID could not be found;
LIH;DCR;213;10.1093/neuonc/noab180.195;Publication ID could not be found;
LIH;DCR;214;10.1093/neuonc/noab196.012;Publication ID could not be found;
LIH;DCR;215;10.1093/neuonc/noab196.495;Publication ID could not be found;
LIH;DCR;216;10.1093/neuonc/noab196.496;Publication ID could not be found;
LIH;DCR;217;10.1093/neuonc/noab196.808;Publication ID could not be found;
LIH;DCR;218;10.1093/neuonc/noab196.871;Publication ID could not be found;
LIH;DCR;221;10.1093/neuonc/noab302;Publication ID could not be found;
LIH;DCR;229;10.1093/neuonc/noy139.011;Publication ID could not be found;
LIH;DCR;230;10.1093/neuonc/noy139.298;Publication ID could not be found;
LIH;DCR;231;10.1093/neuonc/noy139.321;Publication ID could not be found;
LIH;DCR;232;10.1093/neuonc/noy148.1141;Publication ID could not be found;
LIH;DCR;233;10.1093/neuonc/noy148.1146;Publication ID could not be found;
LIH;DCR;234;10.1093/neuonc/noy148.1173;Publication ID could not be found;
LIH;DCR;235;10.1093/neuonc/noy148.312;Publication ID could not be found;
LIH;DCR;236;10.1093/neuonc/noy148.374;Publication ID could not be found;
LIH;DCR;239;10.1093/neuonc/noz126.007;Publication ID could not be found;
LIH;DCR;240;10.1093/neuonc/noz126.074;Publication ID could not be found;
LIH;DCR;241;10.1093/neuonc/noz126.155;Publication ID could not be found;
LIH;DCR;242;10.1093/neuonc/noz126.172;Publication ID could not be found;
LIH;DCR;243;10.1093/neuonc/noz126.198;Publication ID could not be found;
