com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,21,0.2538686469299907,2020,GLUCOCORTICOID RECEPTOR SIGNALING IN LEUKOCYTES AFTER EARLY LIFE ADVERSITY,ELWENSPOEK MMC;HENGESCH X;LEENEN FAD;SIAS K;FERNANDES SB;SCHAAN VK;MÉRIAUX SB;SCHMITZ S;BONNEMBERGER F;SCHÄCHINGER H;VÖGELE C;MULLER CP;TURNER JD,2-S2.0-85070834856,TRUE
1,21,0.24016584637777502,2016,THE CARDIOVASCULAR AND HYPOTHALAMUS-PITUITARY-ADRENAL AXIS RESPONSE TO STRESS IS CONTROLLED BY GLUCOCORTICOID RECEPTOR SEQUENCE VARIANTS AND PROMOTER METHYLATION,LI-TEMPEL T;LARRA MF;SANDT E;MÉRIAUX SB;SCHOTE AB;SCHÄCHINGER H;MULLER CP;TURNER JD,2-S2.0-84957831553,TRUE
1,21,0.23677358900890938,2017,PROINFLAMMATORY T CELL STATUS ASSOCIATED WITH EARLY LIFE ADVERSITY,ELWENSPOEK MMC;HENGESCH X;LEENEN FAD;SCHRITZ A;SIAS K;SCHAAN VK;MÉRIAUX SB;SCHMITZ S;BONNEMBERGER F;SCHÄCHINGER H;VÖGELE C;TURNER JD;MULLER CP,2-S2.0-85038575408,TRUE
1,21,0.22903971618840627,2021,EARLY-LIFE ADVERSITY LEAVES ITS IMPRINT ON THE ORAL MICROBIOME FOR MORE THAN 20 YEARS AND IS ASSOCIATED WITH LONG-TERM IMMUNE CHANGES,CHARALAMBOUS EG;MÉRIAUX SB;GUEBELS P;MULLER CP;LEENEN FAD;ELWENSPOEK MMC;THIELE I;HERTEL J;TURNER JD,2-S2.0-85119652084,TRUE
1,21,0.22611060291495336,2021,ADVERSE LIFE TRAJECTORIES ARE A RISK FACTOR FOR SARS-COV-2 IGA SEROPOSITIVITY,HOLUKA C;SNOECK CJ;MÉRIAUX SB;OLLERT M;KRÜGER R;TURNER JD;CON-VINCE CONSORTIUM,2-S2.0-85113191809,TRUE
2,21,0.864140258259511,2016,FISH AND SEAFOOD ALLERGY [ALLERGIEN AUF MEERESTIERE],KUEHN A;DICKEL H,2-S2.0-84974851237,TRUE
2,21,0.7337759905391794,2016,FISH ALLERGY AND FISH ALLERGENS: ADVANCES IN COMPONENT-RESOLVED DIAGNOSIS OF FISH ALLERGY [FISCHALLERGIE UND FISCHALLERGENE: FORTSCHRITTE DER KOMPONENTENBASIERTEN DIAGNOSE],KUEHN A;HILGER C;OLLERT M,2-S2.0-84963736337,TRUE
2,21,0.5863422491250496,2019,FISH ALLERGY MANAGEMENT: FROM COMPONENT-RESOLVED DIAGNOSIS TO UNMET DIAGNOSTIC NEEDS,KLUEBER J;SCHRAMA D;RODRIGUES P;DICKEL H;KUEHN A,2-S2.0-85091993190,TRUE
2,21,0.556390732442261,2017,DIAGNOSIS OF ALLERGY TO MAMMALS AND FISH: CROSS-REACTIVE VS. SPECIFIC MARKERS,HILGER C;VAN HAGE M;KUEHN A,2-S2.0-85028006523,TRUE
2,21,0.546150035511798,2016,CROSS-REACTIVITY TO FISH AND CHICKEN MEAT – A NEW CLINICAL SYNDROME,KUEHN A;CODREANU-MOREL F;LEHNERS-WEBER C;DOYEN V;GOMEZ-ANDRÉ S-A;BIENVENU F;FISCHER J;BALLARDINI N;VAN HAGE M;PEROTIN J-M;SILCRET-GRIEU S;CHABANE H;HENTGES F;OLLERT M;HILGER C;MORISSET M,2-S2.0-84978405419,TRUE
3,20,0.890854232587482,2018,COMPONENT-RESOLVED DIAGNOSTICS TO DIRECT IN VENOM IMMUNOTHERAPY: IMPORTANT STEPS TOWARDS PRECISION MEDICINE,BLANK S;BILÒ MB;OLLERT M,2-S2.0-85042056231,TRUE
3,20,0.7837880280746138,2020,"PRECISION MEDICINE IN HYMENOPTERA VENOM ALLERGY: DIAGNOSTICS, BIOMARKERS, AND THERAPY OF DIFFERENT ENDOTYPES AND PHENOTYPES",BLANK S;GROSCH J;OLLERT M;BILÒ MB,2-S2.0-85095689467,TRUE
3,20,0.7061063348845724,2017,APPLICATION OF RECOMBINANT ANTIGEN 5 ALLERGENS FROM SEVEN ALLERGY-RELEVANT HYMENOPTERA SPECIES IN DIAGNOSTICS,SCHIENER M;EBERLEIN B;MORENO-AGUILAR C;PIETSCH G;SERRANO P;MCINTYRE M;SCHWARZE L;RUSSKAMP D;BIEDERMANN T;SPILLNER E;DARSOW U;OLLERT M;SCHMIDT-WEBER CB;BLANK S,2-S2.0-84983386096,TRUE
3,20,0.6163744554238866,2018,CHARACTERIZATION OF THE HONEYBEE VENOM PROTEINS C1Q-LIKE PROTEIN AND PVF1 AND THEIR ALLERGENIC POTENTIAL,RUSSKAMP D;VAN VAERENBERGH M;ETZOLD S;EBERLEIN B;DARSOW U;SCHIENER M;DE SMET L;ABSMAIER M;BIEDERMANN T;SPILLNER E;OLLERT M;JAKOB T;SCHMIDT-WEBER CB;DE GRAAF DC;BLANK S,2-S2.0-85048507815,TRUE
