com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,37,0.6609713809605859,2017,CIRCULAR RNAS IN HEART FAILURE,DEVAUX Y;CREEMERS EE;BOON RA;WERFEL S;THUM T;ENGELHARDT S;DIMMELER S;SQUIRE I;ON BEHALF OF THE CARDIOLINC NETWORK,2-S2.0-85016305013,TRUE
1,37,0.4543021799474979,2016,ASSOCIATION OF CIRCULATING MICRORNA-124-3P LEVELS WITH OUTCOMES AFTER OUT-OF-HOSPITAL CARDIAC ARREST: A SUBSTUDY OF A RANDOMIZED CLINICAL TRIAL,DEVAUX Y;DANKIEWICZ J;SALGADO-SOMOZA A;STAMMET P;COLLIGNON O;GILJE P;GIDLÖF O;ZHANG L;VAUSORT M;HASSAGER C;WISE MP;KUIPER M;FRIBERG H;CRONBERG T;ERLINGE D;NIELSEN N,2-S2.0-84991292595,TRUE
1,37,0.3993779148495301,2017,TRANSCRIPTOME OF BLOOD CELLS AS A RESERVOIR OF CARDIOVASCULAR BIOMARKERS,DEVAUX Y,2-S2.0-84995812347,TRUE
1,37,0.37769326931767067,2019,CYCLIN DEPENDENT KINASE INHIBITOR 1 C IS A FEMALE-SPECIFIC MARKER OF LEFT VENTRICULAR FUNCTION AFTER ACUTE MYOCARDIAL INFARCTION,LALEM T;ZHANG L;SCHOLZ M;BURKHARDT R;SACCHETI V;TEREN A;THIERY J;DEVAUX Y;CARDIOLINC™ NETWORK (WWWCARDIOLINCORG),2-S2.0-85050822650,TRUE
1,37,0.37042672074918537,2018,NON-CODING RNAS TO AID IN NEUROLOGICAL PROGNOSIS AFTER CARDIAC ARREST,SALGADO-SOMOZA A;STEFANIZZI FM;STAMMET P;ERLINGE D;FRIBERG H;NIELSEN N;DEVAUX Y,2-S2.0-85059465632,TRUE
2,34,0.7573910529388793,2020,"INFLUENCE OF SOY AND WHEY PROTEIN, GELATIN AND SODIUM CASEINATE ON CAROTENOID BIOACCESSIBILITY",IDDIR M;DINGEO G;PORRAS YARURO JF;HAMMAZ F;BOREL P;SCHLEEH T;DESMARCHELIER C;LARONDELLE Y;BOHN T,2-S2.0-85087111273,TRUE
2,34,0.6534433307623567,2021,IMPACT OF PROTEIN-ENRICHED PLANT FOOD ITEMS ON THE BIOACCESSIBILITY AND CELLULAR UPTAKE OF CAROTENOIDS,IDDIR M;PORRAS YARURO JF;COCCO E;HARDY EM;APPENZELLER BMR;GUIGNARD C;LARONDELLE Y;BOHN T,2-S2.0-85108378940,TRUE
2,34,0.5655629470135757,2018,MAGNESIUM AFFECTS SPINACH CAROTENOID BIOACCESSIBILITY IN VITRO DEPENDING ON INTESTINAL BILE AND PANCREATIC ENZYME CONCENTRATIONS,CORTE-REAL J;DESMARCHELIER C;BOREL P;RICHLING E;HOFFMANN L;BOHN T,2-S2.0-85021895608,TRUE
2,34,0.5126858011179308,2019,WHEY PROTEIN ISOLATE MODULATES BETA-CAROTENE BIOACCESSIBILITY DEPENDING ON GASTRO-INTESTINAL DIGESTION CONDITIONS,IDDIR M;DEGERLI C;DINGEO G;DESMARCHELIER C;SCHLEEH T;BOREL P;LARONDELLE Y;BOHN T,2-S2.0-85063998410,TRUE
2,34,0.43796275215566605,2021,WHEY-AND SOY PROTEIN ISOLATES ADDED TO A CARROT-TOMATO JUICE ALTER CAROTENOID BIOAVAILABILITY IN HEALTHY ADULTS,IDDIR M;PITTOIS D;GUIGNARD C;WEBER B;GANTENBEIN M;LARONDELLE Y;BOHN T,2-S2.0-85118204925,TRUE
