com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,6,0.0798888888888889,2017,INSIGHTS INTO LIGAND STIMULATION EFFECTS ON GASTRO-INTESTINAL STROMAL TUMORS SIGNALLING,BAHLAWANE C;SCHMITZ M;LETELLIER E;ARUMUGAM K;NICOT N;NAZAROV PV;HAAN S,2-S2.0-84994229112,TRUE
1,6,0.07061855670103093,2016,DATA ON QUANTIFICATION OF SIGNALING PATHWAYS ACTIVATED BY KIT AND PDGFRA MUTANTS,BAHLAWANE C;SCHMITZ M;LETELLIER E;ARUMUGAM K;NICOT N;NAZAROV PV;HAAN S,2-S2.0-85020932629,TRUE
1,6,0.06635971223021583,2021,PRISMA AND BIOID DISCLOSE A MOTIFS-BASED INTERACTOME OF THE INTRINSICALLY DISORDERED TRANSCRIPTION FACTOR C/EBPΑ,RAMBERGER E;SAPOZHNIKOVA V;KOWENZ-LEUTZ E;ZIMMERMANN K;NICOT N;NAZAROV PV;PEREZ-HERNANDEZ D;REIMER U;MERTINS P;DITTMAR G;LEUTZ A,2-S2.0-85108084516,TRUE
1,6,0.050359712230215826,2019,PRISMA: PROTEIN INTERACTION SCREEN ON PEPTIDE MATRIX REVEALS INTERACTION FOOTPRINTS AND MODIFICATIONS- DEPENDENT INTERACTOME OF INTRINSICALLY DISORDERED C/EBPΒ,DITTMAR G;HERNANDEZ DP;KOWENZ-LEUTZ E;KIRCHNER M;KAHLERT G;WESOLOWSKI R;BAUM K;KNOBLICH M;HOFSTÄTTER M;MULLER A;WOLF J;REIMER U;LEUTZ A,2-S2.0-85066253803,TRUE
1,6,0.0483963344788087,2020,HYPOXIA-INDUCED ADAPTATIONS OF MIRNOMES AND PROTEOMES IN MELANOMA CELLS AND THEIR SECRETED EXTRACELLULAR VESICLES,WALBRECQ G;LECHA O;GAIGNEAUX A;FOUGERAS MR;PHILIPPIDOU D;MARGUE C;NOMIGNI MT;BERNARDIN F;DITTMAR G;BEHRMANN I;KREIS S,2-S2.0-85082494633,TRUE
2,5,0.10816342771650034,2020,LINEAR UBIQUITIN CHAINS: CELLULAR FUNCTIONS AND STRATEGIES FOR DETECTION AND QUANTIFICATION,DITTMAR G;WINKLHOFER KF,2-S2.0-85078205026,TRUE
2,5,0.07030026401754151,2020,ANALYSIS OF UBIQUITIN SIGNALING AND CHAIN TOPOLOGY CROSS-TALK,MENDES ML;FOUGERAS MR;DITTMAR G,2-S2.0-85078668003,TRUE
2,5,0.04399075726110738,2019,A PROTEIN QUALITY CONTROL PATHWAY REGULATED BY LINEAR UBIQUITINATION,VAN WELL EM;BADER V;PATRA M;SÁNCHEZ-VICENTE A;MESCHEDE J;FURTHMANN N;SCHNACK C;BLUSCH A;LONGWORTH J;PETRASCH-PARWEZ E;MORI K;ARZBERGER T;TRÜMBACH D;ANGERSBACH L;SHOWKAT C;SEHR DA;BERLEMANN LA;GOLDMANN P;CLEMENT AM;BEHL C;WOERNER AC;SAFT C;WURST W;HAASS C;ELLRICHMANN G;GOLD R;DITTMAR G;HIPP MS;HARTL FU;TATZELT J;WINKLHOFER KF,2-S2.0-85064560687,TRUE
2,5,0.03235867446393762,2019,ASSESSMENT OF UBIQUITIN CHAIN TOPOLOGY BY TARGETED MASS SPECTROMETRY,LONGWORTH J;DITTMAR G,2-S2.0-85064734666,TRUE
2,5,0.017543859649122806,2016,THE USE OF PROTEASES COMPLEMENTARY TO TRYPSIN TO PROBE ISOFORMS AND MODIFICATIONS,TREVISIOL S;AYOUB D;LESUR A;ANCHEVA L;GALLIEN S;DOMON B,2-S2.0-84959541139,TRUE
