com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,7,0.32863659685112245,2020,GEOGRAPHY OF SKILLS AND GLOBAL INEQUALITY,BURZYNSKI M;DEUSTER C;DOCQUIER F,2-S2.0-85063215472,TRUE
1,7,0.2833927178343981,2021,THE GEOGRAPHY OF CLIMATE MIGRATION,BURZYŃSKI M;DOCQUIER F;SCHEEWEL H,2-S2.0-85112814613,TRUE
1,7,0.26272625864067223,2018,GLOBALIZING LABOR AND THE WORLD ECONOMY: THE ROLE OF HUMAN CAPITAL,DELOGU M;DOCQUIER F;MACHADO J,2-S2.0-85042364370,TRUE
1,7,0.1810345215296152,2020,DO POTENTIAL MIGRANTS INTERNALIZE MIGRANT RIGHTS IN OECD HOST SOCIETIES?,BEINE M;MACHADO J;RUYSSEN I,2-S2.0-85093928006,TRUE
1,7,0.17264197844209456,2020,TAKING THE SKILL BIAS OUT OF GLOBAL MIGRATION,BIAVASCHI C;BURZYŃSKI M;ELSNER B;MACHADO J,2-S2.0-85059680002,TRUE
2,6,0.1415457836510468,2021,‘HEART OF STEEL’: HOW TRADE UNIONS LOBBY THE EUROPEAN UNION OVER EMISSIONS TRADING,THOMAS A,2-S2.0-85100939487,TRUE
2,6,0.13854889552095695,2020,"TRADE UNION STRATEGIES ON CLIMATE CHANGE MITIGATION: BETWEEN OPPOSITION, HEDGING AND SUPPORT",THOMAS A;DOERFLINGER N,2-S2.0-85091821261,TRUE
2,6,0.13314502003412942,2020,CROSS-BORDER LABOUR MARKETS AND THE ROLE OF TRADE UNIONS IN REPRESENTING MIGRANT WORKERS’ INTERESTS,THOMAS A,2-S2.0-85078041294,TRUE
2,6,0.08333333333333333,2016,DEGREES OF INCLUSION: FREE MOVEMENT OF LABOUR AND THE UNIONIZATION OF MIGRANT WORKERS IN THE EUROPEAN UNION,THOMAS A,2-S2.0-84956784742,TRUE
2,6,0.08051446920322622,2021,FRAMING THE JUST TRANSITION: HOW INTERNATIONAL TRADE UNIONS ENGAGE WITH UN CLIMATE NEGOTIATIONS,THOMAS A,2-S2.0-85113621791,TRUE
3,5,0.12243419028784883,2019,DOES CORPORATE SOCIAL RESPONSIBILITY ENCOURAGE SUSTAINABLE INNOVATION ADOPTION? EMPIRICAL EVIDENCE FROM LUXEMBOURG,POUSSING N,2-S2.0-85059070341,TRUE
3,5,0.11102487494896329,2019,STRATEGIC CSR FOR INNOVATION IN SMES: DOES DIVERSITY MATTER?,BOCQUET R;LE BAS C;MOTHE C;POUSSING N,2-S2.0-85072527187,TRUE
3,5,0.08847448222551826,2017,"CSR, INNOVATION, AND FIRM PERFORMANCE IN SLUGGISH GROWTH CONTEXTS: A FIRM-LEVEL EMPIRICAL ANALYSIS",BOCQUET R;LE BAS C;MOTHE C;POUSSING N,2-S2.0-85049164801,TRUE
3,5,0.08434727222376073,2016,AN EMPIRICAL EXPLORATION OF THE ROLE OF STRATEGIC AND RESPONSIVE CORPORATE SOCIAL RESPONSIBILITY IN THE ADOPTION OF DIFFERENT GREEN IT STRATEGIES,BOHAS A;POUSSING N,2-S2.0-84959925158,TRUE
3,5,0.0440251572327044,2021,DOES AGE DIVERSITY BOOST TECHNOLOGICAL INNOVATION? EXPLORING THE MODERATING ROLE OF HR PRACTICES,MOTHE C;NGUYEN-THI TU,2-S2.0-85100673253,TRUE
4,4,0.2780361828739941,2020,HOW TO RETAIN MOTIVATED EMPLOYEES IN THEIR JOBS?,MARTIN L,2-S2.0-85097020814,TRUE
4,4,0.22219211713704326,2017,DO INNOVATIVE WORK PRACTICES AND USE OF INFORMATION AND COMMUNICATION TECHNOLOGIES MOTIVATE EMPLOYEES?,MARTIN L,2-S2.0-85014062496,TRUE
4,4,0.19534341435839458,2020,HOW DO HRM PRACTICES IMPROVE EMPLOYEE SATISFACTION?,HAURET L;MARTIN L;OMRANI N;WILLIAMS DR,2-S2.0-85092589844,TRUE
