com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,20,0.551562944991779,2019,DO SATISFYING WALKING AND CYCLING TRIPS RESULT IN MORE FUTURE TRIPS WITH ACTIVE TRAVEL MODES? AN EXPLORATORY STUDY,DE VOS J;SCHWANEN T;VAN ACKER V;WITLOX F,2-S2.0-85046682812,TRUE
1,20,0.5180018345322894,2021,“SATISFACTION LIES IN THE EFFORT”. IS GANDHI'S QUOTE ALSO TRUE FOR SATISFACTION WITH COMMUTING?,VAN ACKER V;HO L;MULLEY C,2-S2.0-85112281779,TRUE
1,20,0.5034363663917978,2021,"ON UNDIRECTED TRIPS, SATISFACTION, AND WELL-BEING: EVIDENCE FROM FLANDERS (BELGIUM)",HOOK H;DE VOS J;VAN ACKER V;WITLOX F,2-S2.0-85113618898,TRUE
1,20,0.4921174291220091,2021,DISSONANCE AND COMMUTE SATISFACTION: WHICH REFERENCE POINT TO USE?,MA T-Y;VAN ACKER V;LORD S;GERBER P,2-S2.0-85115447345,TRUE
1,20,0.4102737512209473,2020,"LINKS BETWEEN ATTITUDES, MODE CHOICE, AND TRAVEL SATISFACTION: A CROSS-BORDER LONG-COMMUTE CASE STUDY",GERBER P;THÉRIAULT M;ENAUX C;CARPENTIER-POSTEL S,2-S2.0-85095695659,TRUE
2,19,0.7257328939437395,2019,EXPLORING CROSS-BORDER INTEGRATION IN EUROPE: HOW DO POPULATIONS CROSS BORDERS AND PERCEIVE THEIR NEIGHBOURS?,DECOVILLE A;DURAND F,2-S2.0-85041928201,TRUE
2,19,0.6716667262145112,2020,EVERYTHING ALL RIGHT AT THE INTERNAL EU BORDERS? THE AMBIVALENT EFFECTS OF CROSS-BORDER INTEGRATION AND THE RISE OF EUROSCEPTICISM,DURAND F;DECOVILLE A;KNIPPSCHILD R,2-S2.0-85031821052,TRUE
2,19,0.6525940705141119,2018,ESTABLISHING CROSS-BORDER SPATIAL PLANNING,DURAND F;DECOVILLE A,2-S2.0-85060641317,TRUE
2,19,0.643533987617557,2016,BUILDING A CROSS-BORDER TERRITORIAL STRATEGY BETWEEN FOUR COUNTRIES: WISHFUL THINKING?,DECOVILLE A;DURAND F,2-S2.0-84976303143,TRUE
2,19,0.615091693752874,2018,EUROMETROPOLIS LILLE–KORTRIJK–TOURNAI: CROSS-BORDER INTEGRATION WITH OR WITHOUT THE BORDER?,DURAND F;PERRIN T,2-S2.0-85043504541,TRUE
3,18,0.5089733239156378,2017,THE NEO-WESTPHALIAN PUBLIC SPHERE OF LUXEMBOURG: THE REBORDERING OF A MEDIATED STATE DEMOCRACY IN A CROSS-BORDER CONTEXT,LAMOUR C,2-S2.0-84994097254,TRUE
3,18,0.4710994060407301,2019,THE ECONOMICS OF FREE NEWSPAPERS: THE BUSINESS VALUE OF BANAL COSMOPOLITANISM IN THE CITY OF FLOWS,LAMOUR C;LORENTZ N,2-S2.0-85066041584,TRUE
3,18,0.44160701106835354,2017,NEWS FOR FREE IN THE LATE-MODERN METROPOLIS: AN EXPLORATION OF DIFFERENTIATED SOCIAL WORLDS,LAMOUR C,2-S2.0-85035126951,TRUE
3,18,0.3426194489187368,2017,20 MINUTES SUISSE ROMANDE: GÉOGRAPHIE ÉCONOMIQUE D'UN MÉDIA HELVÉTIQUE ET LÉMANIQUE,LAMOUR C,2-S2.0-85037611199,TRUE
3,18,0.3292788789126171,2019,MASS MEDIA AND BORDER SECURITIZATION IN EUROPE: INVESTIGATING THE METROPOLITAN “MEDIAPOLIS” IN AN ERA OF RIGHT-WING POPULISM,LAMOUR C,2-S2.0-85044944846,TRUE
4,14,0.3909759895019376,2018,MODELING HISTORICAL LAND USE CHANGES AT A REGIONAL SCALE: APPLYING QUANTITY AND LOCATIONAL ERROR METRICS TO ASSESS PERFORMANCE OF AN ARTIFICIAL NEURAL NETWORK-BASED BACK-CAST MODEL,TAYYEBI A;TAYYEBI AH;PEKIN BK;OMRANI H;PIJANOWSKI BC,2-S2.0-85047561010,TRUE
4,14,0.3903288942409759,2018,PREDICTING MULTIPLE LAND USE TRANSITIONS UNDER RAPID URBANIZATION AND IMPLICATIONS FOR LAND MANAGEMENT AND URBAN PLANNING: THE CASE OF ZHANGGONG DISTRICT IN CENTRAL CHINA,WANG L;PIJANOWSKI B;YANG W;ZHAI R;OMRANI H;LI K,2-S2.0-85055913849,TRUE
4,14,0.3737391045134082,2016,FSAUA: A FRAMEWORK FOR SENSITIVITY ANALYSIS AND UNCERTAINTY ASSESSMENT IN HISTORICAL AND FORECASTED LAND USE MAPS,TAYYEBI A;TAYYEBI AH;ARSANJANI JJ;MOGHADAM HS;OMRANI H,2-S2.0-84976611188,TRUE
4,14,0.36769172244498494,2019,"ANALYSIS ON URBAN DENSIFICATION DYNAMICS AND FUTURE MODES IN SOUTHEASTERN WISCONSIN, USA",WANG L;OMRANI H;ZHAO Z;FRANCOMANO D;LI K;PIJANOWSKI B,2-S2.0-85062605280,TRUE
4,14,0.3668991374019976,2017,MODELLING LAND-USE CHANGE WITH DEPENDENCE AMONG LABELS,OMRANI H;ABDALLAH F;TAYYEBI A;PIJANOWSKI B,2-S2.0-85038401416,TRUE
