com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,136,0.8242135289158122,2019,IDENTIFICATION OF THE AQUAPORIN GENE FAMILY IN CANNABIS SATIVA AND EVIDENCE FOR THE ACCUMULATION OF SILICON IN ITS TISSUES,GUERRIERO G;DESHMUKH R;SONAH H;SERGEANT K;HAUSMAN J-F;LENTZEN E;VALLE N;SIDDIQUI KS;EXLEY C,2-S2.0-85067418040,TRUE
1,136,0.8102824260932147,2018,"EXPRESSION ANALYSIS OF CELL WALL-RELATED GENES IN CANNABIS SATIVA: THE ""INS AND OUTS"" OF HEMP STEM TISSUE DEVELOPMENT",BEHR M;LUTTS S;HAUSMAN J-F;GUERRIERO G,2-S2.0-85050259270,TRUE
1,136,0.7896290610186255,2017,MOLECULAR INVESTIGATION OF THE STEM SNAP POINT IN TEXTILE HEMP,BEHR M;LEGAY S;HAUSMAN J-F;LUTTS S;GUERRIERO G,2-S2.0-85037329088,TRUE
1,136,0.6336302627919694,2017,"IMPACT OF SILICON IN PLANT BIOMASS PRODUCTION: FOCUS ON BAST FIBRES, HYPOTHESES, AND PERSPECTIVES",LUYCKX M;HAUSMAN J-F;LUTTS S;GUERRIERO G,2-S2.0-85029367466,TRUE
1,136,0.6244257519477537,2020,IDENTIFICATION OF CALLOSE SYNTHASES IN STINGING NETTLE AND ANALYSIS OF THEIR EXPRESSION IN DIFFERENT TISSUES,GUERRIERO G;PIASECKI E;BERNI R;XU X;LEGAY S;HAUSMAN J-F,2-S2.0-85085679205,TRUE
2,109,2.296899336155309,2018,"SELLAPHORA GOLOGONICA SP. NOV. (BACILLARIOPHYTA, SELLAPHORACEAE), A NEW DIATOM SPECIES FROM A MEDITERRANEAN KARST SPRING (SARDINIA, ITALY)",LAI GG;ECTOR LUC;LUGLIÈ A;SECHI N;WETZEL CE,2-S2.0-85048709757,TRUE
2,109,2.117302966734381,2019,"PSEUDOSTAUROSIRA BARDII (FRAGILARIACEAE, BACILLARIOPHYTA), A NEW SPECIES FROM A SALINE HYDROTHERMAL SPRING OF THE MASSIF CENTRAL (FRANCE)",BEAUGER A;WETZEL CE;VOLDOIRE O;ECTOR L,2-S2.0-85047433436,TRUE
2,109,2.080377029845366,2016,"SELLAPHORA LABERNARDIEREI (SELLAPHORACEAE, BACILLARIOPHYTA), A NEW EPILITHIC SPECIES FROM FRENCH SPRING AND FOUR NEW COMBINATIONS WITHIN THE GENUS SELLAPHORA",BEAUGER A;WETZEL CE;VOLDOIRE O;GARREAU A;ECTOR L,2-S2.0-84968755058,TRUE
2,109,1.9606461877218662,2018,TWO NEW SPECIES OF STAUROSIRA AND PSEUDOSTAUROSIRA (BACILLARIOPHYTA) FROM THE HIGHLANDS OF ARGENTINA (SOUTH-CENTRAL ANDES) AND TWO NEW NOMENCLATURAL COMBINATIONS,GRANA L;MORALES EA;MAIDANA NI;ECTOR L,2-S2.0-85051867835,TRUE
2,109,1.9568480976357372,2020,ANALYSIS OF THE TYPE SPECIMENS OF FRAGILARIA ALPESTRIS (BACILLARIOPHYTA) WITH DESCRIPTION OF TWO NEW ARAPHID SPECIES FROM THE SUB-ANTARCTIC AND ARCTIC REGION,VAN DE VIJVER B;TUSSET E;WILLIAMS DM;ECTOR L,2-S2.0-85096042779,TRUE
3,87,0.7220475410272282,2021,A NEW BI-OBJECTIVE APPROACH FOR OPTIMAL SIZING OF ELECTRICAL AND THERMAL DEVICES IN ZERO ENERGY BUILDINGS CONSIDERING ENVIRONMENTAL IMPACTS,MEHRTASH M;CAPITANESCU F;HEISELBERG PK;GIBON T,2-S2.0-85103403637,TRUE
3,87,0.6866664615408345,2020,AN ENHANCED OPTIMAL PV AND BATTERY SIZING MODEL FOR ZERO ENERGY BUILDINGS CONSIDERING ENVIRONMENTAL IMPACTS,MEHRTASH M;CAPITANESCU F;HEISELBERG PK;GIBON T;BERTRAND A,2-S2.0-85095969749,TRUE
3,87,0.6387242145935725,2021,"ATTRIBUTIONAL & CONSEQUENTIAL LIFE CYCLE ASSESSMENT: DEFINITIONS, CONCEPTUAL CHARACTERISTICS AND MODELLING RESTRICTIONS",SCHAUBROECK T;SCHAUBROECK S;HEIJUNGS R;ZAMAGNI A;BRANDÃO M;BENETTO E,2-S2.0-85109826559,TRUE
3,87,0.6112204268466118,2020,WHEN TO REPLACE A PRODUCT TO DECREASE ENVIRONMENTAL IMPACT?—A CONSEQUENTIAL LCA FRAMEWORK AND CASE STUDY ON CAR REPLACEMENT,SCHAUBROECK S;SCHAUBROECK T;BAUSTERT P;GIBON T;BENETTO E,2-S2.0-85084799116,TRUE
3,87,0.5970630739077396,2020,"A TOOL TO OPERATIONALIZE DYNAMIC LCA, INCLUDING TIME DIFFERENTIATION ON THE COMPLETE BACKGROUND DATABASE",PIGNÉ Y;GUTIÉRREZ TN;GIBON T;SCHAUBROECK T;POPOVICI E;SHIMAKO AH;BENETTO E;TIRUTA-BARNA L,2-S2.0-85074952001,TRUE
4,82,1.5688066272876469,2019,CATCHMENT TRAVEL TIMES FROM COMPOSITE STORAGE SELECTION FUNCTIONS REPRESENTING THE SUPERPOSITION OF STREAMFLOW GENERATION PROCESSES,RODRIGUEZ NB;KLAUS J,2-S2.0-85075486388,TRUE
4,82,1.1884460470363856,2019,ASSESSING THE CATCHMENT STORAGE FUNCTION THROUGH A DUAL-STORAGE CONCEPT,CARRER GE;KLAUS J;PFISTER L,2-S2.0-85060612119,TRUE
4,82,1.0461173901344993,2020,SATURATED AREAS THROUGH THE LENS: 1. SPATIO-TEMPORAL VARIABILITY OF SURFACE SATURATION DOCUMENTED THROUGH THERMAL INFRARED IMAGERY,ANTONELLI M;GLASER B;TEULING AJ;KLAUS J;PFISTER L,2-S2.0-85078780982,TRUE
4,82,0.9181418214004262,2021,THE WEIERBACH EXPERIMENTAL CATCHMENT IN LUXEMBOURG: A DECADE OF CRITICAL ZONE MONITORING IN A TEMPERATE FOREST - FROM HYDROLOGICAL INVESTIGATIONS TO ECOHYDROLOGICAL PERSPECTIVES,HISSLER C;MARTÍNEZ-CARRERAS N;BARNICH F;GOURDOL L;IFFLY JF;JUILLERET J;KLAUS J;PFISTER L,2-S2.0-85106944700,TRUE
