com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,22,0.6247339526750265,2018,SLOWING DOWN INTERACTIONS ON TANGIBLE TABLETOP INTERFACES: A COMPARATIVE USER STUDY IN THE CONTEXT OF COLLABORATIVE PROBLEM SOLVING,LAHURE C;MAQUIL V,2-S2.0-85061187882,TRUE
1,22,0.5116175717809112,2016,HAND GESTURES DURING COLLABORATIVE PROBLEM SOLVING,DIMITRA A;FAL M;RAS E,2-S2.0-84979759178,TRUE
1,22,0.5001978807318074,2017,CASE STUDY ANALYSIS ON COLLABORATIVE PROBLEM SOLVING USING A TANGIBLE INTERFACE,ANASTASIOU D;RAS E,2-S2.0-85019685317,TRUE
1,22,0.45863423932389447,2016,DESIGN IMPLICATIONS FOR A USER STUDY ON A TANGIBLE TABLETOP,ANASTASIOU D;MAQUIL V;RAS E;FAL M,2-S2.0-84985990858,TRUE
1,22,0.4116938628220538,2021,BALANCING SHAREABILITY AND POSITIVE INTERDEPENDENCE TO SUPPORT COLLABORATIVE PROBLEM-SOLVING ON INTERACTIVE TABLETOPS,MAQUIL V;AFKARI H;AREND B;HEUSER S;SUNNEN P,2-S2.0-85105331895,TRUE
2,20,0.6378717840657755,2018,ENTERPRISE MODELLING IN THE AGE OF DIGITAL TRANSFORMATION,VAN GILS B;PROPER HA,2-S2.0-85056480141,TRUE
2,20,0.6324451614115563,2019,TOWARDS A MULTI-STAGE STRATEGY TO TEACH ENTERPRISE MODELLING,PROPER HA;BJEKOVIĆ M;VAN GILS B;HOPPENBROUWERS SJBA,2-S2.0-85059878571,TRUE
2,20,0.5792419345108486,2018,TOWARDS GROUNDED ENTERPRISE MODELLING,PROPER HA;BJEKOVIĆ M;VAN GILS B;HOPPENBROUWERS SJBA,2-S2.0-85045332491,TRUE
2,20,0.5631290272431849,2021,ON DOMAIN CONCEPTUALIZATION,PROPER HA;GUIZZARDI G,2-S2.0-85105927985,TRUE
2,20,0.4997351885451252,2020,ON DOMAIN MODELLING AND REQUISITE VARIETY: CURRENT STATE OF AN ONGOING JOURNEY,PROPER HA;GUIZZARDI G,2-S2.0-85097085239,TRUE
3,16,0.673335235433484,2020,A SEMI-AUTOMATED SYSTEM FOR INTEROPERABILITY ASSESSMENT: AN ONTOLOGY-BASED APPROACH,DA SILVA SERAPIÃO LEAL G;GUÉDRIA W;PANETTO H,2-S2.0-85076491483,TRUE
3,16,0.599220517865065,2019,AN ONTOLOGY FOR INTEROPERABILITY ASSESSMENT: A SYSTEMIC APPROACH,DA SILVA SERAPIÃO LEAL G;GUÉDRIA W;PANETTO H,2-S2.0-85070228513,TRUE
3,16,0.5353351356479601,2020,TOWARDS SMART ASSESSMENT: A METAMODEL PROPOSAL,ROMERO M;GUÉDRIA W;PANETTO H;BARAFORT B,2-S2.0-85081175171,TRUE
3,16,0.4670210405866143,2020,TOWARDS A CONCEPTUAL FRAMEWORK FOR SMART ASSESSMENT IN ORGANISATIONS,ROMERO M;GUÉDRIA W;PANETTO H;BARAFORT B,2-S2.0-85107791993,TRUE
3,16,0.43998253557466244,2019,INTEROPERABILITY ASSESSMENT: A SYSTEMATIC LITERATURE REVIEW,DA SILVA SERAPIÃO LEAL G;GUÉDRIA W;PANETTO H,2-S2.0-85060169989,TRUE
4,13,2.002717263138036,2019,A HYBRID EVOLUTIONARY ALGORITHM FOR SMART FREIGHT DELIVERY WITH ELECTRIC MODULAR VEHICLES,REZGUI D;BOUZIRI H;AGGOUNE-MTALAA W;SIALA JC,2-S2.0-85061921125,TRUE
4,13,1.8466737817424277,2019,AN EVOLUTIONARY VARIABLE NEIGHBORHOOD DESCENT FOR ADDRESSING AN ELECTRIC VRP VARIANT,REZGUI D;BOUZIRI H;AGGOUNE-MTALAA W;SIALA JC,2-S2.0-85064052521,TRUE
4,13,1.8136543529416638,2019,AN ENHANCED EVOLUTIONARY METHOD FOR ROUTING A FLEET OF ELECTRIC MODULAR VEHICLES,REZGUI D;AGGOUNE-MTALAA W;BOUZIRI H;CHAOUACHI-SIALA J,2-S2.0-85074927340,TRUE
4,13,1.5233061992409016,2019,A MEMETIC ALGORITHM FOR FLEET SIZE AND MIX VEHICLE ROUTING PROBLEMS WITH ELECTRIC MODULAR VEHICLES,REZGUI D;SIALA JC;AGGOUNE-MTALAA W;BOUZIRI H,2-S2.0-85069826540,TRUE
4,13,1.3352318069796987,2018,TOWARDS SMART URBAN FREIGHT DISTRIBUTION USING FLEETS OF MODULAR ELECTRIC VEHICLES,REZGUI D;SIALA JC;AGGOUNE-MTALAA W;BOUZIRI H,2-S2.0-85061896016,TRUE
5,9,0.3716240061744942,2018,A SOFTWARE ARTEFACT TO SUPPORT STANDARD-BASED PROCESS ASSESSMENT: EVOLUTION OF THE TIPA® FRAMEWORK IN A DESIGN SCIENCE RESEARCH PROJECT,BARAFORT B;SHRESTHA A;CORTINA S;RENAULT A,2-S2.0-85048544202,TRUE
5,9,0.35403010830225257,2017,THE EVOLUTION OF THE TIPA FRAMEWORK: TOWARDS THE AUTOMATION OF THE ASSESSMENT PROCESS IN A DESIGN SCIENCE RESEARCH PROJECT,BARAFORT B;SHRESTHA A;CORTINA S,2-S2.0-85029741720,TRUE
5,9,0.3093790651236687,2017,HOW TO ELICIT PROCESSES FOR AN ISO-BASED INTEGRATED RISK MANAGEMENT PROCESS REFERENCE MODEL IN IT SETTINGS?,BARAFORT B;MESQUIDA A-L;MAS A,2-S2.0-85030637582,TRUE
5,9,0.23871768860963055,2018,INTEGRATED RISK MANAGEMENT PROCESS ASSESSMENT MODEL FOR IT ORGANIZATIONS BASED ON ISO 31000 IN AN ISO MULTI-STANDARDS CONTEXT,BARAFORT B;MESQUIDA A-L;MAS A,2-S2.0-85049092022,TRUE
5,9,0.23253594258936655,2017,DEVELOPING AN INTEGRATED RISK MANAGEMENT PROCESS MODEL FOR IT SETTINGS IN AN ISO MULTI-STANDARDS CONTEXT,BARAFORT B;MESQUIDA A-L;MAS A,2-S2.0-85029759833,TRUE
6,9,0.3100735346612408,2017,EVALUATION OF THE RISK AND SECURITY OVERLAY OF ARCHIMATE TO MODEL INFORMATION SYSTEM SECURITY RISKS,MAYER N;FELTUS C,2-S2.0-85043570014,TRUE
6,9,0.2562287020406886,2019,AN INTEGRATED CONCEPTUAL MODEL FOR INFORMATION SYSTEM SECURITY RISK MANAGEMENT SUPPORTED BY ENTERPRISE ARCHITECTURE MANAGEMENT,MAYER N;AUBERT J;GRANDRY E;FELTUS C;GOETTELMANN E;WIERINGA R,2-S2.0-85041900629,TRUE
6,9,0.18521828498509604,2018,A RISK INTEGRATION FRAMEWORK FOR THE SERVICE-ORIENTED ENTERPRISE,GRANDRY E;FELTUS C;DUBOIS E,2-S2.0-85048439117,TRUE
6,9,0.13664596273291924,2017,AN APPROACH FOR TRANSFORMING IT-NETWORK DIAGRAMS INTO ENTERPRISE ARCHITECTURE MODELS,MACIEJEWSKI D;MAYER N,2-S2.0-85032887406,TRUE
6,9,0.13382047697716778,2016,TOWARDS A SYSTEMIC APPROACH FOR INFORMATION SECURITY RISK MANAGEMENT,"NAUDET Y;MAYER N;FELTUS C",2-S2.0-85015260587,TRUE
7,8,1.4123366885732136,2018,VALUE COCREATION (VCC) LANGUAGE DESIGN IN THE FRAME OF A SMART AIRPORT NETWORK CASE STUDY,FELTUS C;PROPER EHA;METZGER A;GARCIA LOPEZ JC;GONZALEZ CASTINEIRA R,2-S2.0-85052310138,FALSE
7,8,1.2965181786153213,2017,CONCEPTUALIZATION OF AN ABSTRACT LANGUAGE TO SUPPORT VALUE CO-CREATION,FELTUS C;PROPER EHA,2-S2.0-85039904167,FALSE
7,8,1.2790768162491009,2018,TOWARDS A LANGUAGE TO SUPPORT VALUE COCREATION: AN EXTENSION TO THE ARCHIMATE MODELING FRAMEWORK,FELTUS C;PROPER EH;HAKI K,2-S2.0-85057223127,FALSE
7,8,1.278723581801969,2018,CONCEPTUALIZATION OF A VALUE COCREATION LANGUAGE FOR KNOWLEDGE-INTENSIVE BUSINESS SERVICES,FELTUS C;LESSARD L;VERNADAT F;AMYOT D;PROPER EHA,2-S2.0-85044461460,FALSE
7,8,1.164227932508034,2019,DERIVING INFORMATION SYSTEM SECURITY AND PRIVACY FROM VALUE COCREATION THEORY: CASE STUDY IN THE FINANCIAL SECTOR,FELTUS C,2-S2.0-85094139498,FALSE
8,7,0.11602707978101728,2017,A TAXONOMY OF VISUALIZATION TASKS FOR THE ANALYSIS OF BIOLOGICAL PATHWAY DATA,MURRAY P;MCGEE F;FORBES AG,2-S2.0-85013784258,FALSE
8,7,0.10918976408202094,2019,THE STATE OF THE ART IN MULTILAYER NETWORK VISUALIZATION,MCGEE F;GHONIEM M;MELANÇON G;OTJACQUES B;PINAUD B,2-S2.0-85063638574,FALSE
8,7,0.10768371400198609,2019,M-QUBE3: QUERYING BIG MULTILAYER GRAPH BY EVOLUTIVE EXTRACTION AND EXPLORATION,LAUMOND A;MELANCON G;PINAUD B;GHONIEM M,2-S2.0-85080100256,FALSE
8,7,0.08046407185628743,2020,A METHODOLOGY FOR MULTILAYER NETWORKS ANALYSIS IN THE CONTEXT OF OPEN AND PRIVATE DATA: BIOLOGICAL APPLICATION,MALEK M;ZORZAN S;GHONIEM M,2-S2.0-85088476049,FALSE
8,7,0.06602606339079509,2017,CROWDSOURCING FOR INFORMATION VISUALIZATION: PROMISES AND PITFALLS,BORGO R;LEE B;BACH B;FABRIKANT S;JIANU R;KERREN A;KOBOUROV S;MCGEE F;MICALLEF L;VON LANDESBERGER T;BALLWEG K;DIEHL S;SIMONETTO P;ZHOU M,2-S2.0-85031501419,FALSE
9,6,0.25876940770557794,2017,FIRST WORKSHOP ON TRUST IN THE AGE OF AUTOMATED DRIVING,NOAH BE;WINTERSBERGER P;MIRNIG AG;THAKKAR S;YAN F;GABLE TM;KRAUS J;MCCALL R,2-S2.0-85034815611,FALSE
9,6,0.21621621621621623,2018,SECOND WORKSHOP ON TRUST IN THE AGE OF AUTOMATED DRIVING,WINTERSBERGER P;NOAH BE;KRAUS J;MCCALL R;MIRNIG AG;KUNZE A;THAKKAR S;WALKER BN,2-S2.0-85063154471,FALSE
9,6,0.13262502289796665,2016,TOWARDS A TAXONOMY OF AUTONOMOUS VEHICLE HANDOVER SITUATIONS,MCCALL R;MCGEE F;MESCHTSCHERJAKOV A;LOUVETON N;ENGEL T,2-S2.0-85012034014,FALSE
