com,n_com,dgr_int,PY,TI,AU,UT,seed_com
1,48,0.9126655405819791,2019,CREATING MULTIFERROIC AND CONDUCTIVE DOMAIN WALLS IN COMMON FERROELASTIC COMPOUNDS,ZHAO HJ;ÍÑIGUEZ J,2-S2.0-85073217384,TRUE
1,48,0.7867549784046236,2018,GIANT DIRECT AND INVERSE ELECTROCALORIC EFFECTS IN MULTIFERROIC THIN FILMS,CAZORLA C;ÍÑIGUEZ J,2-S2.0-85056287692,TRUE
1,48,0.7238333690422973,2017,MULTIPLE STRUCTURAL TRANSITIONS DRIVEN BY SPIN-PHONON COUPLINGS IN A PEROVSKITE OXIDE,CAZORLA C;DIÉGUEZ O;ÍÑIGUEZ J,2-S2.0-85041930476,TRUE
1,48,0.6927438158424866,2019,FIRST-PRINCIPLES SCREENING OF ABO3 OXIDES WITH TWO MAGNETIC SUBLATTICES,ZHAO HJ;BELLAICHE L;ÍÑIGUEZ J,2-S2.0-85067359406,TRUE
1,48,0.6710543295686895,2020,A THREE-ORDER-PARAMETER BISTABLE MAGNETOELECTRIC MULTIFERROIC METAL,URRU A;RICCI F;FILIPPETTI A;ÍÑIGUEZ J;FIORENTINI V,2-S2.0-85091872309,TRUE
2,45,1.6856079866645728,2018,ENERGETICS OF OXYGEN-OCTAHEDRA ROTATIONS IN PEROVSKITE OXIDES FROM FIRST PRINCIPLES,CHEN P;GRISOLIA MN;ZHAO HJ;GONZÁLEZ-VÁZQUEZ OE;BELLAICHE L;BIBES M;LIU B-G;ÍÑIGUEZ J,2-S2.0-85041115462,TRUE
2,45,1.432565253706296,2018,COOPERATIVE COUPLINGS BETWEEN OCTAHEDRAL ROTATIONS AND FERROELECTRICITY IN PEROVSKITES AND RELATED MATERIALS,GU T;SCARBROUGH T;YANG Y;ÍÑIGUEZ J;BELLAICHE L;XIANG HJ,2-S2.0-85047773500,TRUE
2,45,1.4156994205544713,2017,EFFICIENT SYSTEMATIC SCHEME TO CONSTRUCT SECOND-PRINCIPLES LATTICE DYNAMICAL MODELS,ESCORIHUELA-SAYALERO C;WOJDEŁ JC;ÍÑIGUEZ J,2-S2.0-85015993603,TRUE
2,45,1.2864396103183289,2019,GIANT ELECTROPHONONIC RESPONSE IN PBTIO3 BY STRAIN ENGINEERING,TORRES P;ÍÑIGUEZ J;RURALI R,2-S2.0-85074880810,TRUE
2,45,1.2404286324674698,2018,STRUCTURAL AND MAGNETIC TRANSITIONS ACCOMPANIED BY LARGE RESPONSES IN EPITAXIAL SR0.5BA0.5MNO3 FILMS,BAYARAA T;YANG Y;ZHAO HJ;ÍÑIGUEZ J;BELLAICHE L,2-S2.0-85059628362,TRUE
3,33,0.9499450543472676,2020,MOLECULAR FLATTENING EFFECT TO ENHANCE THE CONDUCTIVITY OF FUSED PORPHYRIN TAPE THIN FILMS,BENGASI G;DESPORT JS;BABA K;COSAS FERNANDES JP;DE CASTRO O;BOSCHER ND;BENGASI G;HEINZE K,2-S2.0-85079761070,TRUE
3,33,0.9231201403706866,2019,"REACTIVITY OF NICKEL(II) PORPHYRINS IN OCVD PROCESSES—POLYMERISATION, INTRAMOLECULAR CYCLISATION AND CHLORINATION",BENGASI G;BABA K;BACK O;FRACHE G;HEINZE K;BOSCHER ND,2-S2.0-85066905030,TRUE
3,33,0.8599770409658952,2021,INFLUENCE OF DOUBLE BONDS AND CYCLIC STRUCTURE ON THE AP-PECVD OF LOW-K ORGANOSILICON INSULATING LAYERS,ABESSOLO ONDO D;LOYER F;BOSCHER ND,2-S2.0-85100119786,TRUE
3,33,0.8124140344356096,2018,INSIGHTS IN THE INITIATION AND TERMINATION OF POLY(ALKYL ACRYLATES) SYNTHESIZED BY ATMOSPHERIC PRESSURE PLASMA-INITIATED CHEMICAL VAPOR DEPOSITION (AP-PICVD),LOYER F;BENGASI G;FRACHE G;CHOQUET P;BOSCHER ND,2-S2.0-85043480868,TRUE
3,33,0.8110692696027924,2019,CONDUCTIVE FUSED PORPHYRIN TAPES ON SENSITIVE SUBSTRATES BY A CHEMICAL VAPOR DEPOSITION APPROACH,BENGASI G;BABA K;FRACHE G;DESPORT J;GRATIA P;HEINZE K;BOSCHER ND,2-S2.0-85060330831,TRUE
4,26,0.9752809812870512,2016,A THERMAL STRESS FINITE ELEMENT ANALYSIS OF BEAM STRUCTURES BY HIERARCHICAL MODELLING,GIUNTA G;DE PIETRO G;NASSER H;BELOUETTAR S;CARRERA E;PETROLO M,2-S2.0-84963864910,TRUE
4,26,0.9379107620700302,2017,A NEW FOURIER-RELATED DOUBLE SCALE ANALYSIS FOR WRINKLING ANALYSIS OF THIN FILMS ON COMPLIANT SUBSTRATES,HUANG Q;YANG J;HUANG W;LIU Y;HU H;GIUNTA G;BELOUETTAR S,2-S2.0-84995685171,TRUE
4,26,0.887108613035687,2017,A TWO-DIMENSIONAL FOURIER-SERIES FINITE ELEMENT FOR WRINKLING ANALYSIS OF THIN FILMS ON COMPLIANT SUBSTRATES,HUANG Q;XU R;LIU Y;HU H;GIUNTA G;BELOUETTAR S;POTIER-FERRY M,2-S2.0-85013805969,TRUE
4,26,0.7869250875622813,2020,STRONG AND WEAK FORM SOLUTIONS OF CURVED BEAMS VIA CARRERA’S UNIFIED FORMULATION,DE PIETRO G;DE MIGUEL AG;CARRERA E;GIUNTA G;BELOUETTAR S;PAGANI A,2-S2.0-85056186690,TRUE
4,26,0.7686880685669941,2017,A FOURIER-RELATED DOUBLE SCALE ANALYSIS ON THE INSTABILITY PHENOMENA OF SANDWICH PLATES,HUANG Q;LIU Y;HU H;SHAO Q;YU K;GIUNTA G;BELOUETTAR S;POTIER-FERRY M,2-S2.0-85012283204,TRUE
5,19,0.3405678289385055,2020,STRUCTURAL AND CHEMICAL EVOLUTION OF AU-SILICA CORE–SHELL NANOPARTICLES DURING 20 KEV HELIUM ION IRRADIATION: A COMPARISON BETWEEN EXPERIMENT AND SIMULATION,MOUSLEY M;MÖLLER W;PHILIPP P;HLAWACEK G;WIRTZ T;ESWARA S,2-S2.0-85088302571,FALSE
5,19,0.31651399084770215,2021,NPSCOPE: A NEW MULTIMODAL INSTRUMENT FOR IN SITU CORRELATIVE ANALYSIS OF NANOPARTICLES,DE CASTRO O;BIESEMEIER A;SERRALTA E;BOUTON O;BARRAHMA R;HOANG QH;CAMBIER S;TAUBITZ T;KLINGNER N;HLAWACEK G;PINTO SD;GNAUCK P;LUCAS F;BEBEACUA C;WIRTZ T,2-S2.0-85118560419,FALSE
5,19,0.28461572210885,2020,"NANOSCALE MASS-SPECTROMETRY IMAGING OF GRAIN BOUNDARIES IN PEROVSKITE SEMICONDUCTORS",USIOBO OJ;KANDA H;GRATIA P;ZIMMERMANN I;WIRTZ T;NAZEERUDDIN MK;AUDINOT J-N,2-S2.0-85096760503,FALSE
5,19,0.2826249987592141,2019,"CORRELATIVE MICROSCOPY COMBINING TRANSMISSION ELECTRON MICROSCOPY AND SECONDARY ION MASS SPECTROMETRY: A GENERAL REVIEW ON THE STATE-OF-THE-ART, RECENT DEVELOPMENTS, AND PROSPECTS",ESWARA S;PSHENOVA A;YEDRA L;HOANG QH;LOVRIC J;PHILIPP P;WIRTZ T,2-S2.0-85065497165,FALSE
5,19,0.2638142685156297,2020,TUNEABLE INTERPLAY BETWEEN ATOMISTIC DEFECTS MORPHOLOGY AND ELECTRICAL PROPERTIES OF TRANSPARENT P-TYPE HIGHLY CONDUCTIVE OFF-STOICHIOMETRIC CU-CR-O DELAFOSSITE THIN FILMS,LUNCA-POPA P;BOTSOA J;BAHRI M;CRÊPELLIÈRE J;DESGARDIN P;AUDINOT J-N;WIRTZ T;ARL D;ERSEN O;BARTHE M-F;LENOBLE D,2-S2.0-85078689104,FALSE
6,17,0.3060436250538888,2017,ATMOSPHERIC PRESSURE PLASMA-INITIATED CHEMICAL VAPOR DEPOSITION (AP-PICVD) OF POLY(ALKYL ACRYLATES): AN EXPERIMENTAL STUDY,LOYER F;FRACHE G;CHOQUET P;BOSCHER ND,2-S2.0-85020721070,FALSE
6,17,0.26273363432300956,2019,THERMORESPONSIVE WATER-SOLUBLE POLYMER LAYERS AND WATER-STABLE COPOLYMER LAYERS SYNTHESIZED BY ATMOSPHERIC PLASMA INITIATED CHEMICAL VAPOR DEPOSITION,LOYER F;COMBRISSON A;OMER K;MORENO-COURANJOU M;CHOQUET P;BOSCHER ND,2-S2.0-85059439215,FALSE
6,17,0.18311546840958606,2017,BIODEGRADABLE AND HIGH-PERFORMANCE POLY(BUTYLENE ADIPATE-CO-TEREPHTHALATE)-LIGNIN UV-BLOCKING FILMS,XING Q;RUCH D;DUBOIS P;WU L;WANG W-J,2-S2.0-85033457964,FALSE
